headline,published_at,source_url,sentiment,confidence_score
Advanced Micro Devices vs. Arista Networks: Which Tech Stock Is a Better Buy in 2026? - The Motley Fool,2026-07-28 22:58:00,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOalA0QXdEcE9xNWF0V2V1ZV9IODNMdUtSMmtlbHV3d1J4VC1OVnI0djRkcUlNYTd4V1VHeDBvem5vMWZDNVM2aUdOVXZ2MXZmeDZHbVYybEpDSnNpdkxnak9SXzBqNXUya2NMc1ZpdDFjeHYzTE9zbWRuckVnTDBvT2ZuOGFZeUItNlV5ZEl5QzhpQ1R4WGFDMVM1cUdTcmJjUjA0d1l4Sk92MTBMNy0xV1NWLVhKMTh4amxSVlZheUZIMV9PWVZ1Q0JTZVQxXzVv?oc=5,neutral,0.7185
Here’s What My System Says About 4 Big Tech Stocks Before Earnings… - InvestorPlace,2026-07-28 23:42:03,https://news.google.com/rss/articles/CBMirwFBVV95cUxPVHFGbDZMTDB0UjdhZXpLcVMwaXVNLTR0UDdSQTdYYTBwMGpRSUU2UkV4dXRoa2w2WTY3dUcwWXMwN2pETFJLVDQ2dFlSM2tTdlNKbjJrSmEzb3dhcnJROVNiUURaVVhPSll4RXROeklmektsMjV2QUUySG1rb3B2TEoyOTRYRldqaFB6bXgtOEpsM05uTFJpQmZyY0NvZml6eXBMck1hak5FT0lFMFFn?oc=5,neutral,0.9114
Nasdaq-100 slides into correction as global chip and memory stocks sell off - NBC News,2026-07-28 20:24:50,https://news.google.com/rss/articles/CBMijgFBVV95cUxOUE1GNGdWRXhkc1llb3BDcVVaWjJ2ZU10aXQ4ZldYc3NVZmVfMTBGWDBJajNZRGNqd0t0dGxiTmRQU3dMWmFsRFFMMWZNRUJJQ1g1cnV3QWVvSDJRZi1KRFVPY1VPVndlQU53SWpVN0NHNTZod1FQWTdkUW9SU25XY3VCYVRkM2xmYU5GWWd3?oc=5,neutral,0.5582
Tech stocks today: Big Tech earnings this week mark a pivotal moment for the AI trade - Yahoo Finance,2026-07-28 19:15:26,https://news.google.com/rss/articles/CBMilwFBVV95cUxQZGs4cnhKUC1TU1dmQzN2X01ZQ3V1bWN1TkdBMjJ6dmUydUF5T1JVTmFKM0ZZaTUycTRGTnE2b0w4OEljRFFENFVkclFsYXQyWUJ4d2tYbUdDcExMVHdhMGJkRHBYNDZLQnJTUlNtQ3NWN3FJRDU2dWxPSWVSNHRGVTI2a3hFOEZPa08wc3k3SGhsOG5WS01Z?oc=5,positive,0.9118
Big Tech Stocks Are Pricing In a Miracle on Costs - WSJ,2026-07-28 09:30:00,https://news.google.com/rss/articles/CBMijwFBVV95cUxNdzhnNXlEQllfc0w4RlE0dnAzdV9IQ3A3TkliZ3hQdXBEQkRxanJraWtPRzdnTl9kUFR4dzdoeDBnTXJlN0ZIVlBxUGg4LW91QTVVRUZUanlPSGNaakxjZVBmVEhnZGxudVFhbGlQVFdNaV9DZmxxbHpoYXJka1pQd29kMm1OODVIS0VnRmNZbw?oc=5,neutral,0.7776
"US stocks mixed ahead key tech earnings, Fed - Reuters",2026-07-28 20:51:51,https://news.google.com/rss/articles/CBMigwFBVV95cUxNWUF6MHN4NmxzbUxRX0JpZGFFTlliRjB0WW1DQ3NvVUpQVFJ3aFNoUFJ6cG0tNGx2anJ3OFFTWXk3VUdQQVowWHdoRnVzZTZsZV9KdTR1cWxDeFpXTTFidGxCR25jc2ZYUXp1Z2lYRzJwZDcweHNJalJfamhJT0lvTXRKWQ?oc=5,neutral,0.6403
Asian technology stocks extend sell-off with SoftBank down 10% as AI plays take a hit - CNBC,2026-07-29 02:44:00,https://news.google.com/rss/articles/CBMigAFBVV95cUxOWm5mYzh3X2p6d2t2clJubjIzc1VBR2txNEU4V2FvVEM5RmNHZGdHOFJOX1cxZlhEMG5zaEpJQ21WRmZncG0tZm1EQVF4ZnFDMTBhMHFKMXBxN0pUaVFaYmtUbTJ5b0ZxVzJXWHpOVkFqNXBxRTNxTU5tQ3VBS0ZsbNIBhgFBVV95cUxQT0hDOFV0dDBHN25YOE5KWGNWdGlvUEhuSF9XVjhpSV9sWDdxSXozSTJwSXNSTFZnZk0zNVc1bGJJTFVkX2Z5MmpYTXRqNjVRekNHN3B4ZlJIdFZmVk9heW0wY3ZiXzFIQUNfM2o5NVNWYmxWb3RXSHBZbHJ4LWNOSWd4SUQwZw?oc=5,negative,0.6298
"Tech Hasn’t Wrecked, But The Tires of Wall Street’s Biggest Trade are Skidding - Barron's",2026-07-28 11:23:00,https://news.google.com/rss/articles/CBMigwFBVV95cUxOMU1xVmZHcW4zM3FFQ2dRejJSbFhXUUpVSDZCYzZSeFducTkweGpEZ1NhcFVkYVAyV19sMWxiek1mZVgzd1k1YzUwZGZMU2l3XzlDQUY5U2U5dFBaMnBRTWVzaVdJdzN2R1dJVFE4SUN6VEZYZmctOTZqTS1KaVVHOVlaWQ?oc=5,neutral,0.5844
3 realities from the summer tech stock rout you are probably overlooking - Yahoo Finance,2026-07-27 14:27:23,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQZDNiNkx5LVZwWWcxOUpYRG9YV0FhOE0yOWw1aWpleXMzbGlaY3N3MVlXazBJdmNZYXdFWl9tcmlKSzMxT091YUI0NW4tNmkxQlh3NGZBWVJrX1Z6MXdfYmlDYUF5M1l6aWhxLU9JTTVFN19wekZrdWp6SkttVWVvNEdRLVJBQnR4ZGNHNnBtQ2JkRmNQbVRoTTl3WVpPSkhxMXZrWkh0dldfaFRhd1gyODhHYWdjSXdZVHFuYXZqQVQ5ZG5ISDRoZg?oc=5,neutral,0.6608
S&P 500 ends higher as investors await tech earnings - Reuters,2026-07-28 23:15:43,https://news.google.com/rss/articles/CBMipgFBVV95cUxPNkhJQS14Y3d3QkMxeG5XZmR3cldUel9CSk9pdDZrSDFkc0gydEgxSXQ1d0xzTi1OR29xVWEwUjJtV1k4V1p3WlZJeUZCbnB2MzJOYjBHRExWTmVobWlibGFqajlUcWx5emx2M01vYmNwcHlDM2FvYjRwU3o2M0szNVpyM3JwakJyRkZReUMyVk5GUklTWWczOXdFSUcwNkh1clFNVWJn?oc=5,positive,0.5129
